date,flight_count
2020-12-24,8
2020-12-25,22
2020-12-26,40
2020-12-27,273
2020-12-28,216
2020-12-29,204
2020-12-30,243
2020-12-31,214
2021-01-01,235
2021-01-02,243
2021-01-03,254
2021-01-04,205
2021-01-05,224
2021-01-06,236
2021-01-07,235
2021-01-08,265
2021-01-09,238
2021-01-10,260
2021-01-11,207
2021-01-12,215
2021-01-13,213
2021-01-14,226
2021-01-15,261
2021-01-16,227
2021-01-17,242
2021-01-18,180
2021-01-19,204
2021-01-20,229
2021-01-21,219
2021-01-22,251
2021-01-23,234
2021-01-24,237
2021-01-25,202
2021-01-26,211
2021-01-27,218
2021-01-28,225
2021-01-29,256
2021-01-30,234
2021-01-31,244
2021-02-01,200
2021-02-02,224
2021-02-03,232
2021-02-04,215
2021-02-05,233
2021-02-06,225
2021-02-07,233
2021-02-08,196
2021-02-09,193
2021-02-10,198
2021-02-11,217
2021-02-12,239
2021-02-13,224
2021-02-14,227
2021-02-15,194
2021-02-16,198
2021-02-17,204
2021-02-18,222
2021-02-19,227
2021-02-20,231
2021-02-21,231
2021-02-22,211
2021-02-23,181
2021-02-24,207
2021-02-25,214
2021-02-26,236
2021-02-27,225
2021-02-28,229
2021-03-01,213
2021-03-02,210
2021-03-03,216
2021-03-04,301
2021-03-05,174
2021-03-06,241
2021-03-07,234
2021-03-08,199
2021-03-09,233
2021-03-10,199
2021-03-11,225
2021-03-12,242
2021-03-13,229
2021-03-14,236
2021-03-15,197
2021-03-16,198
2021-03-17,217
2021-03-18,217
2021-03-19,249
2021-03-20,237
2021-03-21,242
2021-03-22,197
2021-03-23,195
2021-03-24,207
2021-03-25,219
2021-03-26,249
2021-03-27,255
2021-03-28,235
2021-03-29,211
2021-03-30,207
2021-03-31,232
2021-04-01,240
2021-04-02,253
2021-04-03,247
2021-04-04,242
2021-04-05,212
2021-04-06,215
2021-04-07,231
2021-04-08,246
2021-04-09,261
2021-04-10,244
2021-04-11,253
2021-04-12,232
2021-04-13,219
2021-04-14,229
2021-04-15,234
2021-04-16,263
2021-04-17,235
2021-04-18,258
2021-04-19,214
2021-04-20,237
2021-04-21,230
